NewsId,Comment,Sen,Con,lat,long
1,"Pakistan is a ridiculous news and a seater entertainment for visitors. My head became hot when I heard the name of this oppressed nation. Seeing the language of Pakistan in the comments, it is understood that they are still busy and busy to educate the Bengalis and how unpleasant also. But it is not possible because one Zia and Bangabandhu are in the house from every Bengali house. Alhamdulillah Joy Bangla.",neg,1,22,91.6
1,"Nadim, who visited India for the Pakistan team in 1999, has been astonishing to Rahul Dravid. After the coach of the Indian Under-19 team, he went to the dressing room in Pakistan to comfort everyone. The courtesy of Nadim Adult Dravid, 'The whole thing is new to prove how big Rahul Rahul Dravid.'",neg,0,22,91.57
1,"Kangloo's deceased father, Dafaika lost ... .. Kangloo is not crying, lungi and crying ...

And as much as the ballad news ... how is this the Bengali media ??",neg,1,22,91.54
1,South Africa beat South Africa by 119 runs on 8 May Why such a shocking news is Protham Alo,neg,1,22,91.51
1,Pakistan means entertainment.,neg,1,22,91.48
1,"When the lion attacked, his cubs became scared.",neg,1,22,91.45
1,"Yes,
Admission urine gave crŠches
The result was to slip down the snack",neg,1,22,91.42
1,"Haha ha
Bocachoa Nepaki Fakistani",neg,1,22,91.39
1,Where is the news of India and Africa?,neg,1,22,91.36
1,Subscribe to the cricket post and all match scores (Y) Stay active on the 24-hour news page. ? ? All types of sports news (Y) like 24 hour sports news (Y) page ? ? ? ?,neg,1,22,91.33
1,I can't stop laughing...??????,neg,1,22,91.3
1,Really Rahul dravid is real legend. Sazzad Ul Islam,pos,1,22,91.27
1,"Seeing this news, itching of Farakka germs of this country will increase",neg,1,22,91.24
1,"The poisonous children who abused the Pakistani,,,, fourteenth of theirs, and the rajakare chu ,,,,,? F ** k kangali",neg,1,22,91.21
1,"Those who play with India, they are the ones who are cast magic. India is the magic of the game.",pos,1,22,91.18
1,No one will laugh at !!! ??????????,neg,1,22,91.15
2,"The caption of the post is not like that of his wife, with the wife of someone else ""Geeeeeeiar night"" Eresh went to his house !!! Hierarchy",neg,1,22,91.12
2,Good luck New life is beautiful The news of the separation was not heard again. Hahaha,pos,1,22,91.09
2,Their marriage does not survive like a maid in China Mall. So there is nothing to be so frustrated.,neg,1,22,91.06
2,"The presence of friends is essential, ""yellow on the face"", ""Mehedi evening"". Marriage is a family event, what do friends need? But what if the family event convention is not hired? !!! Do the thieves and runners actually have friends?",neg,1,22,91.03
2,"One thing to note is that, if a girl comments, the boys will give 4/5 replayable buttons. If a boy comments a boy, then one girl does not even replay.
It is awful",pos,1,22,91
2,"This girl seems to have had Amitabh Raza's wife,
Then married for a few days?
When mithila marriage?
Will tell you!",pos,0,22,90.97
2,"Media marriage breaks down like a house of cards ... I hope that the outcome is not like that. ""Best wishes""",neg,1,22,90.94
2,It is equally common for those who marry and eat sugarcane with sugarcane juice.,neg,1,22,90.91
2,Eresh's marriage Nia Ali is more than the level of your goals than Zakara or Saracara. Is this couple any big celebrity ??,neg,0,22,90.88
2,Dang Koto! Bangladeshi Manuosh Baubhat Kourbe Nepal Corruption of Bangladeshi?,neg,1,22,90.85
2,"Otit a jai hoye thakuk,asha kori sob pesone fele ora dujon happy life carry korbe...wish them all the best..",pos,1,22,90.82
2,"They are like actors actors in movies or dramas, even in real life. Today, the wife of another man is the wife of another person, not one of them is satisfied, they do not want to be happy in marriage, they enjoy happiness in the body.",pos,1,22,90.79
2,"Why do you want to have a bath in Nepal? Ali Zaker was like a very good patriot, but all the money was foreign ... Raviosh .... bogas .........",neg,1,22,90.76
2,"Eresh was the only one because of his parents, but he married a girl who had divorced a few years ago, which means that the work of the family is broken, and that is the job of breaking the world, and this marriage is the first light which is responsible journalism, how many days later This magazine will again publish news about their separation and people will start dancing with it. There is no work done, the magazines do not know that There are no problems anymore about it nusera",neg,1,22,90.73
2,"Despite the absence of any law of the country, even religious rules, even though the word ""Ukil Baba"" does not exist, it is sadly sad that such a newspaper, like the first one, is heading in this type of headline.",neg,1,22,90.7
2,"If you have any questions, please do not hesitate to send a new message to you. If you have any questions, please do not hesitate to send a message to the public about this question. apnake abar tnx
(abal ekta)",neg,1,22,90.67
2,"Media girls have enjoyed great pleasure, who have sex with many hotels and different types of drunken people",pos,1,22,90.64
2,Dinduporer deshe ki gotche se khobor nai  govir rater irishder news kore hetara desher big media.,pos,0,22,90.61
2,"Love began with a little sister and got married to a big man. You are a man, Eresh",neg,1,22,90.58
2,There will be no bloodshed in their war ... Blood fountain war has already happened !!! ??,neg,1,22,90.55
2,"Hopefully, let's tell the date of the divorce, because it is a wedding game. What a pleasure. How many times a person is happy to yellow. The yellow of one person is beautiful once. This is not the life of the star world.",pos,1,22,90.52
2,ke dorkar ato tk karoch kora.2din poray too divorce.Gorib dar ay tk gulo dilao too suhab duck .....,neg,1,22,90.49
2,Divorce at the end of winter!,neg,1,22,90.46
2,"They are like actors actors in movies or dramas, even in real life. Today, the wife of another man is the wife of another person, not one of them is satisfied, they do not want to be happy in marriage, they enjoy happiness in the body.",pos,1,22,90.43
2,"So far, the public will tell the public. After some time, the new machine will look for both ...",pos,0,22,90.4
2,"Their marriage is like a movie or drama
Again, in reality,
What a strange match",pos,1,22,90.37
2,"Iresher kole tahar bouer smoker i do not work r Dan hate my cigarate hate moder glass sohokare do you have your favorite viral jack tahader no jibon er shuru besh bhahei hobeche, ????????",neg,0,22,90.34
2,But where is Amitabh Reza ?,neg,1,22,90.31
2,A bride should stay modest and shameful face but she totally opposite,neg,1,22,90.28
2,"Good luck However, the picture of the bride's wedding day does not seem to be a picture of the wedding of a Bangladeshi girl.
New life is beautiful The news of the separation was not heard again. Hahaha",pos,1,22,90.25
2,Anybody thinking of ponding over the pond will see it fall in the sea. Satrababi but I will not go downstairs.,neg,1,22,90.22
2,"Ki dorkar chilo abr biyer jemon colchilo temoni to vlo chilo somprokota, otok vlo jeto, akon to peroti divorce jye jabe",neg,1,22,90.19
2,"This is the movement of the fly ... not satisfied with one another for a long time,
A day will start again and find another ...",neg,0,22,90.16
2,"There is no work in the media, whether news for a few days or so.",neg,1,22,90.13
2,Then ???,neg,1,22,90.1
2,"New wife, do not be ashamed, because they should marry in a remote place, so that no one knows, after some time she will be secretly divorced",pos,1,22,90.07
2,He said next story or linked to the video.,neg,1,22,90.04
2,Divorce at the end of winter,neg,1,22,90.01
2,"Comments can not be posted in the photo why?
In one of the pictures, Eric's wife at the wedding ceremony, in one hand, Sigertate, holding hands with a glass of wine, Eric sitting in the lap.",neg,1,22,89.98
2,"After a few days, the old wife will be earsesh living in separate house ..... !!!!",neg,1,22,89.95
2,"The marriage of the prostitutes of this media / family does not agree to this. If you take another news with these bales, you will have 12 bars",neg,1,22,89.92
2,Talak wife is new,pos,1,22,89.89
2,"After a couple of days, the divorce again goes on again in this way the story goes forward",pos,1,22,89.86
2,"Sali du Boeni Divorcei, ha ha, proud parents",neg,1,22,89.83
2,"Has married for so many days,",neg,1,22,89.8
2,He took away; Then ??,neg,1,22,89.77
2,"2nd Hand Jawani
Eresh with Amitabh Razzar's wife
Has gone to his house",neg,1,22,89.74
2,Amitav Reza has not been released ?? ??,neg,1,22,89.71
2,For how long this marriage is,neg,1,22,89.68
2,"hindu dhormer rules follow korasa, eita ki ekhon tradition?",neg,1,22,89.65
2,Apurba did not really teach Eresh Zak. The boy went wrong again # X Factor # 1,neg,1,22,89.62
2,"1bochor kunu rokom katak ,, ????",neg,1,22,89.59
2,"The brother is deep in your wife, is not it? The next big thing is not to go deep into the night",neg,0,22,89.56
2,Govir rate prothom alo irish birish der news kore? Hayre desh hayre insaniat,neg,0,22,89.53
2,When will the separation,neg,1,22,89.5
2,"Suvo saw janaite perlam with ..
to find constant beshidin hoitho hobe and tai..krn ader ak jinish beshidin vlo lage na.",pos,1,22,89.47
2,Do you know whether OMA?,neg,1,22,89.44
2,akti biye r akti divorce-ar opekkha!!!,neg,1,22,89.41
2,How many wedding marriages do they marry in such a doll dress Depot in the morning at the wedding in Rai,neg,1,22,89.38
2,"Will not be ,?",neg,1,22,89.35
